source_path,destination_path,source_type,classification,operation
/home/shane/Desktop/Projects/PSYNOVA_DB_ALIGN_20260411_185005/03_docker.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_DB_ALIGN_20260411_185005/03_docker.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_DB_ALIGN_20260411_185005/01_env.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_DB_ALIGN_20260411_185005/01_env.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_DB_ALIGN_20260411_185005/04_backend.log,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_DB_ALIGN_20260411_185005/04_backend.log,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_DB_ALIGN_20260411_185005/02_db_code.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_DB_ALIGN_20260411_185005/02_db_code.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/05_mysql_test_corrected.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/05_mysql_test_corrected.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/01_docker.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/01_docker.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/00_EXECUTION_NOTES.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/00_EXECUTION_NOTES.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/03_db_refs.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/03_db_refs.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/02_backend_env.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/02_backend_env.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/06_backend_restart.log,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/06_backend_restart.log,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/04_db_test_corrected.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/04_db_test_corrected.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/05_mysql_test.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/05_mysql_test.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_FIX_DB_20260411_184053/04_db_test.txt,/home/shane/Desktop/Projects/PsyNova/registry/PSYNOVA_FIX_DB_20260411_184053/04_db_test.txt,backup,unique operational file,copied
/home/shane/Desktop/Projects/PSYNOVA_VERIFIED_STATE_20260411_183213/CURSOR_EXECUTION_PROTOCOL.md,/home/shane/Desktop/Projects/PsyNova/reports/PSYNOVA_VERIFIED_STATE_20260411_183213/CURSOR_EXECUTION_PROTOCOL.md,report,unique documentation,copied
/home/shane/Desktop/Projects/PSYNOVA_VERIFIED_STATE_20260411_183213/02_verified_summary.txt,/home/shane/Desktop/Projects/PsyNova/reports/PSYNOVA_VERIFIED_STATE_20260411_183213/02_verified_summary.txt,report,unique documentation,copied
/home/shane/Desktop/Projects/PSYNOVA_VERIFIED_STATE_20260411_183213/01_system_check.txt,/home/shane/Desktop/Projects/PsyNova/reports/PSYNOVA_VERIFIED_STATE_20260411_183213/01_system_check.txt,report,unique documentation,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/PsyNova_ATC_Packet_CURRENT.zip,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/PsyNova_ATC_Packet_CURRENT.zip,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/00_START_HERE.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/00_START_HERE.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/01_MASTER_PROFILE.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/01_MASTER_PROFILE.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/03_PENDING_WORK.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/03_PENDING_WORK.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/04_DO_NOT_RETRY.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/04_DO_NOT_RETRY.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/07_FILE_MAP.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/07_FILE_MAP.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/02_SYSTEM_STATE.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/02_SYSTEM_STATE.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/06_SYSTEM_CHECK_PROTOCOL.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/06_SYSTEM_CHECK_PROTOCOL.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_ATC_Packet_20260411_182317/package/05_CURSOR_BOOT.md,/home/shane/Desktop/Projects/PsyNova/recovery/PsyNova_ATC_Packet_20260411_182317/package/05_CURSOR_BOOT.md,packet,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/notion/psynova_dashboard.csv,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/notion/psynova_dashboard.csv,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/state/tree.txt,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/state/tree.txt,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/state/status.json,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/state/status.json,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-26-46__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-26-46__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-30-53__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-30-53__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-11T02_50_32_655Z-debug-0.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-11T02_50_32_655Z-debug-0.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-25-04__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-25-04__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-30-59__AUTOPILOT__BATCH__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-30-59__AUTOPILOT__BATCH__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-11__16-13-32__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-11__16-13-32__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__13-53-59__AUTOPILOT__BATCH__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__13-53-59__AUTOPILOT__BATCH__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-29-01__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-29-01__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-11T02_35_37_007Z-debug-0.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-11T02_35_37_007Z-debug-0.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__13-39-43__AUTOPILOT__BATCH__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__13-39-43__AUTOPILOT__BATCH__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-33-42__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-33-42__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-30-29__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-30-29__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-40-00__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-40-00__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-23-29__AUTOPILOT__BATCH__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-23-29__AUTOPILOT__BATCH__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-11T02_38_14_007Z-debug-0.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-11T02_38_14_007Z-debug-0.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-34-23__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-34-23__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__13-39-19__AUTOPILOT__BATCH__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__13-39-19__AUTOPILOT__BATCH__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-25-45__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-25-45__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-11__16-03-02__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-11__16-03-02__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-17-45__AUTOPILOT__BATCH__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__12-17-45__AUTOPILOT__BATCH__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-38-48__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-38-48__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-38-06__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-38-06__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
/home/shane/Desktop/Projects/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-29-54__BACKEND__TEST_E2E__RUN__v01.log,/home/shane/Desktop/Projects/PsyNova/exports/PsyNova_EXPORT_20260411_175352/logs/2026-04-09__10-29-54__BACKEND__TEST_E2E__RUN__v01.log,export,unique recovery artifact,copied
